b'Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,807.25,820.869995,803.73999,819.309998,1901600,819.309998
2017-01-20,806.909973,806.909973,801.690002,805.02002,1645000,805.02002
2017-01-19,805.119995,809.47998,801.799988,802.174988,912000,802.174988
2017-01-18,805.809998,806.205017,800.98999,806.070007,1294400,806.070007
2017-01-17,807.080017,807.140015,800.369995,804.609985,1362100,804.609985
2017-01-13,807.47998,811.223999,806.690002,807.880005,1099200,807.880005
2017-01-12,807.140015,807.390015,799.169983,806.359985,1353100,806.359985
2017-01-11,805.00,808.150024,801.369995,807.909973,1065900,807.909973
2017-01-10,807.859985,809.130005,803.51001,804.789978,1176800,804.789978
2017-01-09,806.400024,809.966003,802.830017,806.650024,1272400,806.650024
2017-01-06,795.26001,807.900024,792.203979,806.150024,1640200,806.150024
2017-01-05,786.080017,794.47998,785.02002,794.02002,1335200,794.02002
2017-01-04,788.359985,791.340027,783.159973,786.900024,1073000,786.900024
2017-01-03,778.809998,789.630005,775.799988,786.140015,1657300,786.140015
2016-12-30,782.75,782.780029,770.409973,771.820007,1770000,771.820007
2016-12-29,783.330017,785.929993,778.919983,782.789978,744300,782.789978
2016-12-28,793.700012,794.22998,783.200012,785.049988,1153800,785.049988
2016-12-27,790.679993,797.859985,787.656982,791.549988,789100,791.549988
'
